date_time,steps,speed_ms,distance_m,calorie
1970-01-01 00:29:25.411200,16301,1.5106126,12660.99,565.38995
1970-01-01 00:29:25.497600,15233,1.4717177,11761.66,541.92
1970-01-01 00:29:25.497600,15233,1.4717177,11761.66,541.92
1970-01-01 00:29:25.584000,11021,1.4592127,8501.9,398.56
1970-01-01 00:29:25.584000,11021,1.4592127,8501.9,398.56
1970-01-01 00:29:25.670400,4204,1.4954737,3253.47,149.6
1970-01-01 00:29:25.670400,4204,1.4954737,3253.47,149.6
1970-01-01 00:29:27.139200,14828,1.8801224,12780.93,689.49
1970-01-01 00:29:27.139200,3025,1.696258,2575.5,115.59
1970-01-01 00:29:27.139200,11803,1.9329995,10205.43,573.89996
1970-01-01 00:29:27.225600,8434,1.5025976,6574.1,291.35
1970-01-01 00:29:27.225600,6356,1.5927345,5015.17,194.17998
1970-01-01 00:29:27.225600,7636,1.4736023,5909.04,275.58
1970-01-01 00:29:27.312000,19709,1.8057314,16993.04,862.29
1970-01-01 00:29:27.312000,16995,1.9822721,15336.12,751.44
1970-01-01 00:29:27.312000,18919,1.6981277,15538.67,820.59
1970-01-01 00:29:27.398400,21117,1.5255061,16606.99,735.47
1970-01-01 00:29:27.398400,15650,1.6270962,12482.16,483.19995
1970-01-01 00:29:27.398400,20515,1.5117394,16109.58,746.42
1970-01-01 00:29:27.484800,4785,1.4483505,3776.52,185.7
1970-01-01 00:29:27.484800,2117,1.6249305,1739.8301,71.88999
1970-01-01 00:29:27.571200,18811,1.923544,16777.85,869.01996
1970-01-01 00:29:27.484800,4450,1.422871,3476.52,178.24
1970-01-01 00:29:27.571200,18296,1.8721322,16119.92,873.25
1970-01-01 00:29:27.571200,15803,2.0813909,14423.25,710.06
1970-01-01 00:29:27.657600,8512,1.6093163,7065.06,317.37
1970-01-01 00:29:27.657600,6198,1.6421783,4938.41,190.31998
1970-01-01 00:29:27.657600,8126,1.6295911,6886.33,323.69
1970-01-01 00:29:27.744000,18403,1.8382695,15888.42,826.45
1970-01-01 00:29:27.744000,15880,2.0226836,14404.24,714.36
1970-01-01 00:29:27.744000,17782,1.6716056,14193.41,782.14996
1970-01-01 00:29:27.830400,4876,1.3849056,3550.78,165.05
1970-01-01 00:29:27.830400,3474,1.5673614,2769.33,109.259995
1970-01-01 00:29:27.830400,4338,1.2936772,2958.75,147.31
1970-01-01 00:29:27.916800,13222,1.9269811,11501.54,631.93
1970-01-01 00:29:27.916800,12368,2.1515546,11574.36,605.95996
1970-01-01 00:29:27.916800,12443,1.7143618,9756.69,577.36
1970-01-01 00:29:28.003200,13813,1.3738226,10264.5,452.18
1970-01-01 00:29:28.003200,9015,1.5353986,7152.27,283.22998
1970-01-01 00:29:28.003200,10824,1.2530885,7550.94,362.06
1970-01-01 00:29:28.089600,6059,1.4885567,4718.0,200.62
1970-01-01 00:29:28.089600,4449,1.5939204,3563.52,140.6
1970-01-01 00:29:28.089600,1671,1.2423925,1200.68,61.979996
1970-01-01 00:29:28.176000,13904,1.770744,11736.82,623.13995
1970-01-01 00:29:28.176000,12341,1.9837601,11242.81,572.23
1970-01-01 00:29:28.176000,10946,1.653169,8561.26,509.14996
1970-01-01 00:29:28.262400,9430,1.3419133,6874.83,320.02
1970-01-01 00:29:28.262400,4214,1.5403173,3352.95,134.0
1970-01-01 00:29:28.262400,9094,1.2928377,6409.79,307.07
1970-01-01 00:29:28.348800,17857,1.7764319,14956.5205,818.91
1970-01-01 00:29:28.348800,14258,2.1234639,13322.939,700.79
1970-01-01 00:29:28.348800,17506,1.6087786,13489.78,777.5299
1970-01-01 00:29:28.435200,12872,1.3264593,9294.39,415.87997
1970-01-01 00:29:28.435200,8773,1.511469,6857.53,268.05
1970-01-01 00:29:28.435200,12601,1.2404583,8602.41,409.63998
1970-01-01 00:29:28.521600,15621,1.8615979,13415.45,739.57
1970-01-01 00:29:28.521600,12896,2.2185686,12354.66,665.89996
1970-01-01 00:29:28.521600,14005,1.6979259,11075.92,654.33997
1970-01-01 00:29:28.608000,13303,1.3706036,9594.15,434.65
1970-01-01 00:29:28.608000,9755,1.5711385,7740.1196,303.13
1970-01-01 00:29:28.608000,12943,1.2807544,8792.72,421.8
1970-01-01 00:29:28.694400,6124,1.577039,4881.03,193.21999
1970-01-01 00:29:28.694400,6124,1.577039,4881.03,193.21999
1970-01-01 00:29:28.694400,18,1.1372557,12.709999,0.6599999
1970-01-01 00:29:28.780800,6715,1.8241665,5769.12,268.43997
1970-01-01 00:29:28.780800,6475,1.8665925,5651.31,261.21997
1970-01-01 00:29:28.780800,2320,1.8945787,1917.14,120.46
1970-01-01 00:29:28.867200,15454,1.5236474,11856.64,503.86
1970-01-01 00:29:28.867200,12462,1.6368399,9988.81,387.3
1970-01-01 00:29:28.867200,9409,1.3159013,6473.86,321.22
